Event,Site,Date,Round,White Player,Black Player,Result,UTCDate,UTCTime,Variant,ECO,Opening,Move Number,Player,Blunder Move,Better Move,Comment,Evaluation,Position Before Blunder,Position After Blunder
World Championship Match 1910 II,Berlin GER,1910.11.08,1,"Lasker, Emanuel","Janowski, Dawid Markelowicz",1-0,2021.12.05,19:43:13,Standard,D41,Queen's Gambit Declined: Semi-Tarrasch Defense,38,"Janowski, Dawid Markelowicz",Rd6,,[%eval 6.34] Blunder. g6 was best.,6.34,2rr2k1/p3qppp/2p5/Q2b4/1P2p3/4P3/P3BPPP/2RR2K1 b - - 0 19,2r3k1/p3qppp/2pr4/Q2b4/1P2p3/4P3/P3BPPP/2RR2K1 w - - 1 20
World Championship Match 1910 II,Berlin GER,1910.11.12,3,"Lasker, Emanuel","Janowski, Dawid Markelowicz",1/2-1/2,2021.12.05,19:43:55,Standard,D60,"Queen's Gambit Declined: Orthodox Defense, Botvinnik Variation",124,"Janowski, Dawid Markelowicz",Qa2,,[%eval 5.09] Blunder. Kg8 was best.,5.09,8/5p1k/5Qpp/4P3/2q4P/5PK1/6P1/8 b - - 14 62,8/5p1k/5Qpp/4P3/7P/5PK1/q5P1/8 w - - 15 63
World Championship Match 1910 II,Berlin GER,1910.11.12,3,"Lasker, Emanuel","Janowski, Dawid Markelowicz",1/2-1/2,2021.12.05,19:43:55,Standard,D60,"Queen's Gambit Declined: Orthodox Defense, Botvinnik Variation",125,"Lasker, Emanuel",Kf4,,[%eval 0.08] Blunder. e6 was best.,0.08,8/5p1k/5Qpp/4P3/7P/5PK1/q5P1/8 w - - 15 63,8/5p1k/5Qpp/4P3/5K1P/5P2/q5P1/8 b - - 16 63
World Championship Match 1910 II,Berlin GER,1910.11.12,3,"Lasker, Emanuel","Janowski, Dawid Markelowicz",1/2-1/2,2021.12.05,19:43:55,Standard,D60,"Queen's Gambit Declined: Orthodox Defense, Botvinnik Variation",178,"Janowski, Dawid Markelowicz",Qe5,,[%eval 6.09] Blunder. Qd4+ was best.,6.09,6k1/5p2/3q4/5P2/6K1/5Q2/6P1/8 b - - 20 89,6k1/5p2/8/4qP2/6K1/5Q2/6P1/8 w - - 21 90
World Championship Match 1910 II,Berlin GER,1910.11.12,3,"Lasker, Emanuel","Janowski, Dawid Markelowicz",1/2-1/2,2021.12.05,19:43:55,Standard,D60,"Queen's Gambit Declined: Orthodox Defense, Botvinnik Variation",179,"Lasker, Emanuel",Qg3,,[%eval 0.15] Blunder. f6 was best.,0.15,6k1/5p2/8/4qP2/6K1/5Q2/6P1/8 w - - 21 90,6k1/5p2/8/4qP2/6K1/6Q1/6P1/8 b - - 22 90
World Championship Match 1910 II,Berlin GER,1910.11.12,3,"Lasker, Emanuel","Janowski, Dawid Markelowicz",1/2-1/2,2021.12.05,19:43:55,Standard,D60,"Queen's Gambit Declined: Orthodox Defense, Botvinnik Variation",180,"Janowski, Dawid Markelowicz",Qe4+,,[%eval 3.64] Blunder. Qd4+ was best.,3.64,6k1/5p2/8/4qP2/6K1/6Q1/6P1/8 b - - 22 90,6k1/5p2/8/5P2/4q1K1/6Q1/6P1/8 w - - 23 91
World Championship Match 1910 II,Berlin GER,1910.11.12,3,"Lasker, Emanuel","Janowski, Dawid Markelowicz",1/2-1/2,2021.12.05,19:43:55,Standard,D60,"Queen's Gambit Declined: Orthodox Defense, Botvinnik Variation",183,"Lasker, Emanuel",Kh5+,,[%eval 0.07] Blunder. Kh6+ was best.,0.07,6k1/5p2/8/5PK1/3q4/6Q1/6P1/8 w - - 25 92,6k1/5p2/8/5P1K/3q4/6Q1/6P1/8 b - - 26 92
World Championship Match 1910 II,Berlin GER,1910.11.19,5,"Lasker, Emanuel","Janowski, Dawid Markelowicz",1-0,2023.05.03,11:04:54,Standard,D32,Tarrasch Defense: Two Knights Variation,19,"Lasker, Emanuel",Nc3,,[%eval -2.84] Blunder. Qd2 was best.,-2.84,r3kbnr/pp3ppp/2n1b3/q7/3NN3/4B3/PP3PPP/R2QKB1R w KQkq - 1 10,r3kbnr/pp3ppp/2n1b3/q7/3N4/2N1B3/PP3PPP/R2QKB1R b KQkq - 2 10
World Championship Match 1910 II,Berlin GER,1910.11.19,5,"Lasker, Emanuel","Janowski, Dawid Markelowicz",1-0,2023.05.03,11:04:54,Standard,D32,Tarrasch Defense: Two Knights Variation,22,"Janowski, Dawid Markelowicz",Nh6,,[%eval -0.67] Blunder. Bc5 was best.,-0.67,2kr1bnr/pp3ppp/2n1b3/q7/3N4/P1N1B3/1P3PPP/R2QKB1R b KQ - 0 11,2kr1b1r/pp3ppp/2n1b2n/q7/3N4/P1N1B3/1P3PPP/R2QKB1R w KQ - 1 12
World Championship Match 1910 II,Berlin GER,1910.11.19,5,"Lasker, Emanuel","Janowski, Dawid Markelowicz",1-0,2023.05.03,11:04:54,Standard,D32,Tarrasch Defense: Two Knights Variation,42,"Janowski, Dawid Markelowicz",Qe5,,[%eval 5.63] Blunder. Bg4 was best.,5.63,2kr3r/pp3p1p/2n1bp2/1N6/1P1Nq3/P1R2BP1/7P/3Q2K1 b - - 1 21,2kr3r/pp3p1p/2n1bp2/1N2q3/1P1N4/P1R2BP1/7P/3Q2K1 w - - 2 22
World Championship Match 1910 II,Berlin GER,1910.11.20,6,"Janowski, Dawid Markelowicz","Lasker, Emanuel",1/2-1/2,2021.12.05,19:45:18,Standard,D02,Queen's Pawn Game: Symmetrical Variation,41,"Janowski, Dawid Markelowicz",Qd1,,[%eval -2.34] Blunder. Nxb3 was best.,-2.34,r4rk1/4bppp/p3p3/2P5/qp1N4/1n2P3/1B2QPPP/2R2RK1 w - - 2 21,r4rk1/4bppp/p3p3/2P5/qp1N4/1n2P3/1B3PPP/2RQ1RK1 b - - 3 21
World Championship Match 1910 II,Berlin GER,1910.11.27,8,"Janowski, Dawid Markelowicz","Lasker, Emanuel",0-1,2021.12.05,19:45:19,Standard,D04,Queen's Pawn Game: Colle System,54,"Lasker, Emanuel",Rxd1+,,[%eval 2.54] Blunder. Qxe6 was best.,2.54,3r2k1/2b1q1pp/4P3/p1n2p2/Pp6/1P2NQ2/1B3PPP/3R2K1 b - - 0 27,6k1/2b1q1pp/4P3/p1n2p2/Pp6/1P2NQ2/1B3PPP/3r2K1 w - - 0 28
World Championship Match 1910 II,Berlin GER,1910.11.27,8,"Janowski, Dawid Markelowicz","Lasker, Emanuel",0-1,2021.12.05,19:45:19,Standard,D04,Queen's Pawn Game: Colle System,67,"Janowski, Dawid Markelowicz",Nf5,,[%eval 0.0] Blunder. Qc2 was best.,0.0,4k3/2b2qpQ/8/p7/Pp6/1n2N1P1/1B3P1P/6K1 w - - 0 34,4k3/2b2qpQ/8/p4N2/Pp6/1n4P1/1B3P1P/6K1 b - - 1 34
World Championship Match 1910 II,Berlin GER,1910.12.01,9,"Lasker, Emanuel","Janowski, Dawid Markelowicz",1-0,2021.12.05,19:45:19,Standard,C78,Ruy Lopez: Morphy Defense,62,"Janowski, Dawid Markelowicz",Bh3,,[%eval 2.43] Blunder. c5 was best.,2.43,1rb2bk1/2q2ppp/p1p5/4P2r/1P3P2/3RN1P1/2N2Q1P/3R2K1 b - - 2 31,1r3bk1/2q2ppp/p1p5/4P2r/1P3P2/3RN1Pb/2N2Q1P/3R2K1 w - - 3 32
World Championship Match 1910 II,Berlin GER,1910.12.08,11,"Lasker, Emanuel","Janowski, Dawid Markelowicz",1-0,2021.12.05,19:45:20,Standard,C30,King's Gambit Declined: Classical Variation,41,"Lasker, Emanuel",Qc4+,,[%eval -1.61] Blunder. Qe2 was best.,-1.61,r4rk1/p1p1n1pp/1b6/2p4q/3PP3/2PQB3/P2K2BP/R6R w - - 0 21,r4rk1/p1p1n1pp/1b6/2p4q/2QPP3/2P1B3/P2K2BP/R6R b - - 1 21
World Championship Match 1910 II,Berlin GER,1910.12.08,11,"Lasker, Emanuel","Janowski, Dawid Markelowicz",1-0,2021.12.05,19:45:20,Standard,C30,King's Gambit Declined: Classical Variation,52,"Janowski, Dawid Markelowicz",Rb8,,[%eval 1.65] Blunder. Rd8 was best.,1.65,r6k/p1p3pp/8/b1P2r2/2Q1P1q1/2P1B3/P1K3BP/6R1 b - - 1 26,1r5k/p1p3pp/8/b1P2r2/2Q1P1q1/2P1B3/P1K3BP/6R1 w - - 2 27
World Championship Match 1910 II,Berlin GER,1910.12.08,11,"Lasker, Emanuel","Janowski, Dawid Markelowicz",1-0,2021.12.05,19:45:20,Standard,C30,King's Gambit Declined: Classical Variation,54,"Janowski, Dawid Markelowicz",Qh4,,[%eval 7.29] Blunder. Qf3 was best.,7.29,1r5k/p1p3pp/8/b1P2r2/2Q1P1q1/2P1B3/P1K4P/5BR1 b - - 3 27,1r5k/p1p3pp/8/b1P2r2/2Q1P2q/2P1B3/P1K4P/5BR1 w - - 4 28
World Championship Match 1910,Vienna AUT,1910.01.07,1,"Schlechter, Carl","Lasker, Emanuel",1/2-1/2,2021.11.29,17:54:02,Standard,C66,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",138,"Lasker, Emanuel",Ra4,,[%eval 5.39] Blunder. Rc5 was best. 1/2-1/2 The game is a draw.,5.39,8/7k/5R2/5p1P/2r5/6PK/8/8 b - - 4 69,8/7k/5R2/5p1P/r7/6PK/8/8 w - - 5 70
World Championship Match 1910,Vienna AUT,1910.01.21,5,"Schlechter, Carl","Lasker, Emanuel",1-0,2021.11.29,17:54:02,Standard,C66,"Ruy Lopez: Berlin Defense, Closed Bernstein Variation",94,"Lasker, Emanuel",c4,,[%eval -1.11] Blunder. Kd7 was best.,-1.11,8/2k3p1/3p1p2/2p1r1p1/R3P1P1/3q3P/5PK1/4Q3 b - - 1 47,8/2k3p1/3p1p2/4r1p1/R1p1P1P1/3q3P/5PK1/4Q3 w - - 0 48
World Championship Match 1910,Vienna AUT,1910.01.21,5,"Schlechter, Carl","Lasker, Emanuel",1-0,2021.11.29,17:54:02,Standard,C66,"Ruy Lopez: Berlin Defense, Closed Bernstein Variation",108,"Lasker, Emanuel",Qc5,,[%eval 2.63] Blunder. c3 was best.,2.63,R7/2k3p1/5p2/1r1p2p1/1qp3P1/7P/Q4PK1/8 b - - 3 54,R7/2k3p1/5p2/1rqp2p1/2p3P1/7P/Q4PK1/8 w - - 4 55
World Championship Match 1910,Berlin GER,1910.01.29,6,"Lasker, Emanuel","Schlechter, Carl",1/2-1/2,2021.11.29,17:54:02,Standard,C80,Ruy Lopez: Open,41,"Lasker, Emanuel",Rad1,,[%eval 0.53] Blunder. Rxe8+ was best.,0.53,1r2r1k1/2pq1b1p/2n2bpB/1p1p4/1P6/1BPQ1N2/5PPP/R3R1K1 w - - 2 21,1r2r1k1/2pq1b1p/2n2bpB/1p1p4/1P6/1BPQ1N2/5PPP/3RR1K1 b - - 3 21
World Championship Match 1910,Berlin GER,1910.01.30,7,"Schlechter, Carl","Lasker, Emanuel",1/2-1/2,2021.11.29,17:54:02,Standard,B57,Sicilian Defense: Magnus Smith Trap,44,"Lasker, Emanuel",Bb7,,[%eval 0.51] Blunder. Bb5 was best.,0.51,r3r1k1/p6p/b1R1Pb2/2P2pp1/N5n1/1B4P1/PP3P1P/4R1K1 b - - 0 22,r3r1k1/pb5p/2R1Pb2/2P2pp1/N5n1/1B4P1/PP3P1P/4R1K1 w - - 1 23
World Championship Match 1910,Berlin GER,1910.02.05,9,"Schlechter, Carl","Lasker, Emanuel",1/2-1/2,2021.11.29,17:54:02,Standard,B33,"Sicilian Defense: Lasker-Pelikan Variation, Schlechter Variation",31,"Schlechter, Carl",Bf5,,[%eval -3.75] Blunder. Bh4 was best.,-3.75,r6r/ppqk1pp1/2nbb2p/6BQ/5p2/1NPB4/P1P3PP/4RRK1 w - - 2 16,r6r/ppqk1pp1/2nbb2p/5BBQ/5p2/1NP5/P1P3PP/4RRK1 b - - 3 16
World Championship Match 1910,Berlin GER,1910.02.05,9,"Schlechter, Carl","Lasker, Emanuel",1/2-1/2,2021.11.29,17:54:02,Standard,B33,"Sicilian Defense: Lasker-Pelikan Variation, Schlechter Variation",32,"Lasker, Emanuel",Raf8,,[%eval -0.36] Blunder. g6 was best.,-0.36,r6r/ppqk1pp1/2nbb2p/5BBQ/5p2/1NP5/P1P3PP/4RRK1 b - - 3 16,5r1r/ppqk1pp1/2nbb2p/5BBQ/5p2/1NP5/P1P3PP/4RRK1 w - - 4 17
World Championship Match 1910,Berlin GER,1910.02.05,9,"Schlechter, Carl","Lasker, Emanuel",1/2-1/2,2021.11.29,17:54:02,Standard,B33,"Sicilian Defense: Lasker-Pelikan Variation, Schlechter Variation",112,"Lasker, Emanuel",Kc7,,[%eval -0.15] Blunder. Kb6 was best.,-0.15,8/1p4p1/p1kn3p/8/2PN2r1/3R2P1/P1PK4/8 b - - 4 56,8/1pk3p1/p2n3p/8/2PN2r1/3R2P1/P1PK4/8 w - - 5 57
World Championship Match 1910,Berlin GER,1910.02.08,10,"Lasker, Emanuel","Schlechter, Carl",1-0,2021.11.29,17:55:30,Standard,D11,Slav Defense: Quiet Variation,45,"Lasker, Emanuel",Bxg6,,[%eval 0.0] Blunder. Qb3 was best.,0.0,r4rk1/pb2ppb1/n1p3p1/7q/N2P4/P2BP3/2QB1P1P/2R1K1R1 w - - 10 23,r4rk1/pb2ppb1/n1p3B1/7q/N2P4/P3P3/2QB1P1P/2R1K1R1 b - - 0 23
World Championship Match 1910,Berlin GER,1910.02.08,10,"Lasker, Emanuel","Schlechter, Carl",1-0,2021.11.29,17:55:30,Standard,D11,Slav Defense: Quiet Variation,78,"Schlechter, Carl",Qh1+,,[%eval 1.69] Blunder. Qh4+ was best.,1.69,2R2b1k/p3p3/8/1n6/N2P1r2/P2Q1R2/7q/4K3 b - - 5 39,2R2b1k/p3p3/8/1n6/N2P1r2/P2Q1R2/8/4K2q w - - 6 40
